No,;Time;Source;Destination;Protocol;Length;Info;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
39;1,44085;192,168,100,21;157,240,218,60;TCP;66;[TCP Dup ACK 29#1] 62415  >  443 [ACK] Seq=40 Ack=40 Win=514 Len=0 SLE=1 SRE=40;;1,44085;1,49535;0,054506;;-0,589861;0,644367;1,234228
40;1,49535;192,168,100,21;162.159.130.234;TCP;54;61541  >  443 [ACK] Seq=55 Ack=3931 Win=513 Len=0;;1,49535;2,13972;0,644367;;0,64436;7E-06;-0,644353
43;2,13972;50,116,58,41;192,168,100,21;TCP;56;8443  >  51145 [ACK] Seq=1 Ack=29 Win=165 Len=0;;2,13972;2,13973;7E-06;;-0,05442;0,054427;0,108847
44;2,13973;50,116,58,41;192,168,100,21;TLSv1,2;80;Application Data;;2,13973;2,19415;0,054427;;-0,576647;0,631074;1,207721
45;2,19415;192,168,100,21;50,116,58,41;TCP;54;51145  >  8443 [ACK] Seq=29 Ack=25 Win=509 Len=0;;2,19415;2,82523;0,631074;;0,574524;0,05655;-0,517974
46;2,82523;192,168,100,21;18.213.208.247;TLSv1,2;90;Application Data;;2,82523;2,88178;0,05655;;0,004457;0,052093;0,047636
47;2,88178;162.159.130.234;192,168,100,21;TLSv1,2;284;Application Data;;2,88178;2,93387;0,052093;;-0,081459;0,133552;0,215011
48;2,93387;192,168,100,21;162.159.130.234;TCP;54;61541  >  443 [ACK] Seq=55 Ack=4161 Win=512 Len=0;;2,93387;3,06742;0,133552;;0,133476;7,6E-05;-0,1334
49;3,06742;50,116,58,41;192,168,100,21;TCP;80;[TCP Spurious Retransmission] 8443  >  51145 [PSH, ACK] Seq=1 Ack=29 Win=165 Len=24;;3,06742;3,06750;7,6E-05;;-0,068482;0,068558;0,13704
50;3,06750;192,168,100,21;50,116,58,41;TCP;66;[TCP Dup ACK 45#1] 51145  >  8443 [ACK] Seq=29 Ack=25 Win=509 Len=0 SLE=1 SRE=25;;3,06750;3,13606;0,068558;;-0,24311;0,311668;0,554778
51;3,13606;192,168,100,21;18.213.208.247;TCP;90;[TCP Retransmission] 62377  >  443 [PSH, ACK] Seq=1 Ack=1 Win=510 Len=36;;3,13606;3,44773;0,311668;;0,277673;0,033995;-0,243678
52;3,44773;192,168,100,21;18.213.208.247;TCP;90;[TCP Retransmission] 62377  >  443 [PSH, ACK] Seq=1 Ack=1 Win=510 Len=36;;3,44773;3,48172;0,033995;;-0,009513;0,043508;0,053021
53;3,48172;162.159.130.234;192,168,100,21;TLSv1,2;292;Application Data;;3,48172;3,52523;0,043508;;-0,125574;0,169082;0,294656
54;3,52523;192,168,100,21;162.159.130.234;TCP;54;61541  >  443 [ACK] Seq=55 Ack=4399 Win=511 Len=0;;3,52523;3,69431;0,169082;;0,117373;0,051709;-0,065664
55;3,69431;162.159.130.234;192,168,100,21;TLSv1,2;352;Application Data;;3,69431;3,74602;0,051709;;-0,257616;0,309325;0,566941
56;3,74602;192,168,100,21;162.159.130.234;TCP;54;61541  >  443 [ACK] Seq=55 Ack=4697 Win=510 Len=0;;3,74602;4,05534;0,309325;;0,129239;0,180086;0,050847
57;4,05534;192,168,100,21;18.213.208.247;TCP;90;[TCP Retransmission] 62377  >  443 [PSH, ACK] Seq=1 Ack=1 Win=510 Len=36;;4,05534;4,23543;0,180086;;0,180024;6,2E-05;-0,179962
58;4,23543;162.159.130.234;192,168,100,21;TCP;352;[TCP Spurious Retransmission] 443  >  61541 [PSH, ACK] Seq=4399 Ack=55 Win=75 Len=298;;4,23543;4,23549;6,2E-05;;-0,517599;0,517661;1,03526
59;4,23549;192,168,100,21;162.159.130.234;TCP;66;[TCP Dup ACK 56#1] 61541  >  443 [ACK] Seq=55 Ack=4697 Win=510 Len=0 SLE=4399 SRE=4697;;4,23549;4,75315;0,517661;;0,465112;0,052549;-0,412563
60;4,75315;162.159.130.234;192,168,100,21;TLSv1,2;154;Application Data;;4,75315;4,80570;0,052549;;-0,3974;0,449949;0,847349
61;4,80570;192,168,100,21;162.159.130.234;TCP;54;61541  >  443 [ACK] Seq=55 Ack=4797 Win=510 Len=0;;4,80570;5,25565;0,449949;;0,062449;0,3875;0,325051
62;5,25565;192,168,100,21;18.213.208.247;TCP;90;[TCP Retransmission] 62377  >  443 [PSH, ACK] Seq=1 Ack=1 Win=510 Len=36;;5,25565;5,64315;0,3875;;0,387454;4,6E-05;-0,387408
63;5,64315;50,116,58,41;192,168,100,21;TCP;80;[TCP Spurious Retransmission] 8443  >  51145 [PSH, ACK] Seq=1 Ack=29 Win=165 Len=24;;5,64315;5,64320;4,6E-05;;-0,230938;0,230984;0,461922
64;5,64320;192,168,100,21;50,116,58,41;TCP;66;[TCP Dup ACK 45#2] 51145  >  8443 [ACK] Seq=29 Ack=25 Win=509 Len=0 SLE=1 SRE=25;;5,64320;5,87418;0,230984;;0,230936;4,8E-05;-0,230888
67;5,87418;162.159.130.234;192,168,100,21;TCP;920;[TCP Spurious Retransmission] 443  >  61541 [PSH, ACK] Seq=3931 Ack=55 Win=75 Len=866;;5,87418;5,87423;4,8E-05;;-1,501057;1,501105;3,002162
68;5,87423;192,168,100,21;162.159.130.234;TCP;66;[TCP Dup ACK 61#1] 61541  >  443 [ACK] Seq=55 Ack=4797 Win=510 Len=0 SLE=3931 SRE=4797;;5,87423;7,37533;1,501105;;1,488726;0,012379;-1,476347
73;7,37533;162.159.130.234;192,168,100,21;TLSv1,2;343;Application Data, Application Data;;7,37533;7,38771;0,012379;;0,012374;5E-06;-0,012369
