No,;Time;Source;Destination;Protocol;Length;Info;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
448;31,49635;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=20666 Ack=2043 Win=70656 Len=1408 [TCP segment of a reassembled PDU];;31,49635;31,49648;0,000136;;-0,013877;0,014013;0,02789
449;31,49648;192,168,100,21;142,251,85,71;TCP;54;62448  >  443 [ACK] Seq=2043 Ack=22074 Win=132352 Len=0;;31,49648;31,51050;0,014013;;0,014007;6E-06;-0,014001
450;31,51050;142,251,85,71;192,168,100,21;TLSv1,3;1462;Application Data [TCP segment of a reassembled PDU];;31,51050;31,51050;6E-06;;-0,000181;0,000187;0,000368
451;31,51050;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=23482 Ack=2043 Win=70656 Len=1408 [TCP segment of a reassembled PDU];;31,51050;31,51069;0,000187;;0,000184;3E-06;-0,000181
452;31,51069;162.159.130.234;192,168,100,21;TLSv1,2;356;Application Data;;31,51069;31,51069;3E-06;;-0,000135;0,000138;0,000273
453;31,51069;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=24890 Ack=2043 Win=70656 Len=1408 [TCP segment of a reassembled PDU];;31,51069;31,51083;0,000138;;-0,004442;0,00458;0,009022
454;31,51083;192,168,100,21;142,251,85,71;TCP;54;62448  >  443 [ACK] Seq=2043 Ack=26298 Win=132352 Len=0;;31,51083;31,51541;0,00458;;0,000171;0,004409;0,004238
455;31,51541;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=26298 Ack=2043 Win=70656 Len=1408 [TCP segment of a reassembled PDU];;31,51541;31,51982;0,004409;;0,004401;8E-06;-0,004393
457;31,51982;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=27706 Ack=2043 Win=70656 Len=1408 [TCP segment of a reassembled PDU];;31,51982;31,51983;8E-06;;-0,000143;0,000151;0,000294
458;31,51983;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=29114 Ack=2043 Win=70656 Len=1408 [TCP segment of a reassembled PDU];;31,51983;31,51998;0,000151;;-4,6E-05;0,000197;0,000243
459;31,51998;192,168,100,21;142,251,85,71;TCP;54;62448  >  443 [ACK] Seq=2043 Ack=30522 Win=132352 Len=0;;31,51998;31,52018;0,000197;;0,000193;4E-06;-0,000189
460;31,52018;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=30522 Ack=2043 Win=70656 Len=1408 [TCP segment of a reassembled PDU];;31,52018;31,52018;4E-06;;-0,001721;0,001725;0,003446
461;31,52018;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=31930 Ack=2043 Win=70656 Len=1408 [TCP segment of a reassembled PDU];;31,52018;31,52191;0,001725;;0,001632;9,3E-05;-0,001539
462;31,52191;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=33338 Ack=2043 Win=70656 Len=1408 [TCP segment of a reassembled PDU];;31,52191;31,52200;9,3E-05;;-0,008361;0,008454;0,016815
463;31,52200;192,168,100,21;142,251,85,71;TCP;54;62448  >  443 [ACK] Seq=2043 Ack=34746 Win=132352 Len=0;;31,52200;31,53045;0,008454;;0,008446;8E-06;-0,008438
464;31,53045;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=34746 Ack=2043 Win=70656 Len=1408 [TCP segment of a reassembled PDU];;31,53045;31,53046;8E-06;;-0,000202;0,00021;0,000412
465;31,53046;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=36154 Ack=2043 Win=70656 Len=1408 [TCP segment of a reassembled PDU];;31,53046;31,53067;0,00021;;0,000206;4E-06;-0,000202
466;31,53067;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=37562 Ack=2043 Win=70656 Len=1408 [TCP segment of a reassembled PDU];;31,53067;31,53067;4E-06;;1E-06;3E-06;2E-06
467;31,53067;142,251,85,71;192,168,100,21;TLSv1,3;1462;Application Data [TCP segment of a reassembled PDU];;31,53067;31,53068;3E-06;;1E-06;2E-06;1E-06
468;31,53068;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=40378 Ack=2043 Win=70656 Len=1408 [TCP segment of a reassembled PDU];;31,53068;31,53068;2E-06;;1E-06;1E-06;3,55271E-15
469;31,53068;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=41786 Ack=2043 Win=70656 Len=1408 [TCP segment of a reassembled PDU];;31,53068;31,53068;1E-06;;-1E-06;2E-06;3E-06
470;31,53068;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=43194 Ack=2043 Win=70656 Len=1408 [TCP segment of a reassembled PDU];;31,53068;31,53068;2E-06;;1E-06;1E-06;3,55271E-15
471;31,53068;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=44602 Ack=2043 Win=70656 Len=1408 [TCP segment of a reassembled PDU];;31,53068;31,53068;1E-06;;-9,3E-05;9,4E-05;0,000187
472;31,53068;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=46010 Ack=2043 Win=70656 Len=1408 [TCP segment of a reassembled PDU];;31,53068;31,53078;9,4E-05;;-0,004653;0,004747;0,0094
473;31,53078;192,168,100,21;142,251,85,71;TCP;54;62448  >  443 [ACK] Seq=2043 Ack=47418 Win=132352 Len=0;;31,53078;31,53552;0,004747;;0,004743;4E-06;-0,004739
474;31,53552;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=47418 Ack=2043 Win=70656 Len=1408 [TCP segment of a reassembled PDU];;31,53552;31,53553;4E-06;;-0,003572;0,003576;0,007148
475;31,53553;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=48826 Ack=2043 Win=70656 Len=1408 [TCP segment of a reassembled PDU];;31,53553;31,53910;0,003576;;0,003493;8,3E-05;-0,00341
476;31,53910;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=50234 Ack=2043 Win=70656 Len=1408 [TCP segment of a reassembled PDU];;31,53910;31,53919;8,3E-05;;-0,001245;0,001328;0,002573
477;31,53919;192,168,100,21;142,251,85,71;TCP;54;62448  >  443 [ACK] Seq=2043 Ack=51642 Win=132352 Len=0;;31,53919;31,54052;0,001328;;-0,002367;0,003695;0,006062
478;31,54052;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=51642 Ack=2043 Win=70656 Len=1408 [TCP segment of a reassembled PDU];;31,54052;31,54421;0,003695;;0,003688;7E-06;-0,003681
479;31,54421;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=53050 Ack=2043 Win=70656 Len=1408 [TCP segment of a reassembled PDU];;31,54421;31,54422;7E-06;;-0,000126;0,000133;0,000259
480;31,54422;142,251,85,71;192,168,100,21;TLSv1,3;1462;Application Data [TCP segment of a reassembled PDU];;31,54422;31,54435;0,000133;;-0,00496;0,005093;0,010053
481;31,54435;192,168,100,21;142,251,85,71;TCP;54;62448  >  443 [ACK] Seq=2043 Ack=55866 Win=132352 Len=0;;31,54435;31,54944;0,005093;;0,00476;0,000333;-0,004427
482;31,54944;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=55866 Ack=2043 Win=70656 Len=1408 [TCP segment of a reassembled PDU];;31,54944;31,54978;0,000333;;0,000327;6E-06;-0,000321
483;31,54978;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=57274 Ack=2043 Win=70656 Len=1408 [TCP segment of a reassembled PDU];;31,54978;31,54978;6E-06;;-8,1E-05;8,7E-05;0,000168
484;31,54978;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=58682 Ack=2043 Win=70656 Len=1408 [TCP segment of a reassembled PDU];;31,54978;31,54987;8,7E-05;;-7,1E-05;0,000158;0,000229
485;31,54987;192,168,100,21;142,251,85,71;TCP;54;62448  >  443 [ACK] Seq=2043 Ack=60090 Win=132352 Len=0;;31,54987;31,55003;0,000158;;-0,00486;0,005018;0,009878
486;31,55003;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=60090 Ack=2043 Win=70656 Len=1408 [TCP segment of a reassembled PDU];;31,55003;31,55505;0,005018;;0,005013;5E-06;-0,005008
487;31,55505;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=61498 Ack=2043 Win=70656 Len=1408 [TCP segment of a reassembled PDU];;31,55505;31,55505;5E-06;;-6,5E-05;7E-05;0,000135
488;31,55505;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=62906 Ack=2043 Win=70656 Len=1408 [TCP segment of a reassembled PDU];;31,55505;31,55512;7E-05;;6,5E-05;5E-06;-6E-05
489;31,55512;192,168,100,21;142,251,85,71;TCP;54;62448  >  443 [ACK] Seq=2043 Ack=64314 Win=132352 Len=0;;31,55512;31,55513;5E-06;;-0,002748;0,002753;0,005501
490;31,55513;192,168,100,21;162.159.130.234;TCP;54;61541  >  443 [ACK] Seq=55 Ack=10609 Win=509 Len=0;;31,55513;31,55788;0,002753;;0,002749;4E-06;-0,002745
491;31,55788;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=64314 Ack=2043 Win=70656 Len=1408 [TCP segment of a reassembled PDU];;31,55788;31,55788;4E-06;;-0,000278;0,000282;0,00056
492;31,55788;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=65722 Ack=2043 Win=70656 Len=1408 [TCP segment of a reassembled PDU];;31,55788;31,55816;0,000282;;0,000278;4E-06;-0,000274
493;31,55816;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=67130 Ack=2043 Win=70656 Len=1408 [TCP segment of a reassembled PDU];;31,55816;31,55817;4E-06;;-6,9E-05;7,3E-05;0,000142
494;31,55817;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=68538 Ack=2043 Win=70656 Len=1408 [TCP segment of a reassembled PDU];;31,55817;31,55824;7,3E-05;;-0,000186;0,000259;0,000445
495;31,55824;192,168,100,21;142,251,85,71;TCP;54;62448  >  443 [ACK] Seq=2043 Ack=69946 Win=132352 Len=0;;31,55824;31,55850;0,000259;;0,000255;4E-06;-0,000251
496;31,55850;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=69946 Ack=2043 Win=70656 Len=1408 [TCP segment of a reassembled PDU];;31,55850;31,55850;4E-06;;-0,002659;0,002663;0,005322
497;31,55850;142,251,85,71;192,168,100,21;TLSv1,3;1462;Application Data [TCP segment of a reassembled PDU];;31,55850;31,56117;0,002663;;0,002657;6E-06;-0,002651
498;31,56117;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=72762 Ack=2043 Win=70656 Len=1408 [TCP segment of a reassembled PDU];;31,56117;31,56117;6E-06;;-0,000112;0,000118;0,00023
499;31,56117;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=74170 Ack=2043 Win=70656 Len=1408 [TCP segment of a reassembled PDU];;31,56117;31,56129;0,000118;;-0,013578;0,013696;0,027274
500;31,56129;192,168,100,21;142,251,85,71;TCP;54;62448  >  443 [ACK] Seq=2043 Ack=75578 Win=132352 Len=0;;31,56129;31,57499;0,013696;;-0,01054;0,024236;0,034776
501;31,57499;142,251,85,71;192,168,100,21;TLSv1,3;855;Application Data;;31,57499;31,59922;0,024236;;0,024195;4,1E-05;-0,024154
502;31,59922;192,168,100,21;142,251,85,71;TCP;1462;62448  >  443 [ACK] Seq=2043 Ack=76379 Win=131328 Len=1408 [TCP segment of a reassembled PDU];;31,59922;31,59926;4,1E-05;;-0,291169;0,29121;0,582379
503;31,59926;192,168,100,21;142,251,85,71;TLSv1,3;107;Application Data;;31,59926;31,89047;0,29121;;0,219376;0,071834;-0,147542
516;31,89047;192,168,100,21;142,251,12,94;OCSP;480;Request;;31,89047;31,96231;0,071834;;0,071827;7E-06;-0,07182
519;31,96231;142,251,85,71;192,168,100,21;TCP;68;[TCP Window Update] 443  >  62448 [ACK] Seq=76379 Ack=2043 Win=73472 Len=0 SLE=3451 SRE=3504;;31,96231;31,96232;7E-06;;5E-06;2E-06;-3E-06
520;31,96232;142,251,85,71;192,168,100,21;TCP;56;443  >  62448 [ACK] Seq=76379 Ack=3504 Win=76288 Len=0;;31,96232;31,96232;2E-06;;-0,044362;0,044364;0,088726
521;31,96232;50,116,58,41;192,168,100,21;TLSv1,2;80;Application Data;;31,96232;32,00668;0,044364;;0,004729;0,039635;0,034906
523;32,00668;192,168,100,21;50,116,58,41;TCP;54;51145  >  8443 [ACK] Seq=113 Ack=97 Win=509 Len=0;;32,00668;32,04632;0,039635;;0,039625;1E-05;-0,039615
524;32,04632;142,251,85,71;192,168,100,21;TLSv1,3;1462;Application Data;;32,04632;32,04633;1E-05;;-0,008063;0,008073;0,016136
525;32,04633;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=77787 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,04633;32,05440;0,008073;;0,008068;5E-06;-0,008063
526;32,05440;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=79195 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,05440;32,05440;5E-06;;-0,000125;0,00013;0,000255
527;32,05440;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=80603 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,05440;32,05453;0,00013;;-2,8E-05;0,000158;0,000186
528;32,05453;192,168,100,21;142,251,85,71;TCP;54;62448  >  443 [ACK] Seq=3504 Ack=82011 Win=132352 Len=0;;32,05453;32,05469;0,000158;;0,000154;4E-06;-0,00015
529;32,05469;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=82011 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,05469;32,05470;4E-06;;-0,013525;0,013529;0,027054
530;32,05470;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=83419 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,05470;32,06823;0,013529;;0,013522;7E-06;-0,013515
533;32,06823;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=84827 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,06823;32,06823;7E-06;;6E-06;1E-06;-5E-06
534;32,06823;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=86235 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,06823;32,06823;1E-06;;-1E-06;2E-06;3E-06
535;32,06823;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=87643 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,06823;32,06824;2E-06;;-0,000146;0,000148;0,000294
536;32,06824;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=89051 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,06824;32,06838;0,000148;;-0,003721;0,003869;0,00759
537;32,06838;192,168,100,21;142,251,85,71;TCP;54;62448  >  443 [ACK] Seq=3504 Ack=90459 Win=132352 Len=0;;32,06838;32,07225;0,003869;;0,003863;6E-06;-0,003857
538;32,07225;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=90459 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,07225;32,07226;6E-06;;-0,000151;0,000157;0,000308
539;32,07226;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=91867 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,07226;32,07242;0,000157;;0,000154;3E-06;-0,000151
540;32,07242;142,251,85,71;192,168,100,21;TLSv1,3;1462;Application Data [TCP segment of a reassembled PDU];;32,07242;32,07242;3E-06;;-7,1E-05;7,4E-05;0,000145
541;32,07242;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=94683 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,07242;32,07249;7,4E-05;;-0,004768;0,004842;0,00961
542;32,07249;192,168,100,21;142,251,85,71;TCP;54;62448  >  443 [ACK] Seq=3504 Ack=96091 Win=132352 Len=0;;32,07249;32,07733;0,004842;;0,004836;6E-06;-0,00483
544;32,07733;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=96091 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,07733;32,07734;6E-06;;-0,003989;0,003995;0,007984
545;32,07734;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=97499 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,07734;32,08134;0,003995;;0,003859;0,000136;-0,003723
546;32,08134;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=98907 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,08134;32,08147;0,000136;;-0,003224;0,00336;0,006584
547;32,08147;192,168,100,21;142,251,85,71;TCP;54;62448  >  443 [ACK] Seq=3504 Ack=100315 Win=132352 Len=0;;32,08147;32,08483;0,00336;;-0,014082;0,017442;0,031524
548;32,08483;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=100315 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,08483;32,10227;0,017442;;0,017436;6E-06;-0,01743
549;32,10227;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=101723 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,10227;32,10228;6E-06;;-0,000123;0,000129;0,000252
550;32,10228;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=103131 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,10228;32,10241;0,000129;;-0,006192;0,006321;0,012513
551;32,10241;192,168,100,21;142,251,85,71;TCP;54;62448  >  443 [ACK] Seq=3504 Ack=104539 Win=132352 Len=0;;32,10241;32,10873;0,006321;;0,006316;5E-06;-0,006311
552;32,10873;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=104539 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,10873;32,10873;5E-06;;-0,000237;0,000242;0,000479
553;32,10873;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=105947 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,10873;32,10898;0,000242;;0,000237;5E-06;-0,000232
554;32,10898;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=107355 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,10898;32,10898;5E-06;;-9,3E-05;9,8E-05;0,000191
555;32,10898;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=108763 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,10898;32,10908;9,8E-05;;-8,9E-05;0,000187;0,000276
556;32,10908;192,168,100,21;142,251,85,71;TCP;54;62448  >  443 [ACK] Seq=3504 Ack=110171 Win=132352 Len=0;;32,10908;32,10927;0,000187;;0,000183;4E-06;-0,000179
557;32,10927;142,251,85,71;192,168,100,21;TLSv1,3;1462;Application Data [TCP segment of a reassembled PDU];;32,10927;32,10927;4E-06;;-0,000304;0,000308;0,000612
558;32,10927;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=111579 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,10927;32,10958;0,000308;;0,000305;3E-06;-0,000302
559;32,10958;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=112987 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,10958;32,10958;3E-06;;-8,1E-05;8,4E-05;0,000165
560;32,10958;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=114395 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,10958;32,10967;8,4E-05;;-0,000239;0,000323;0,000562
561;32,10967;192,168,100,21;142,251,85,71;TCP;54;62448  >  443 [ACK] Seq=3504 Ack=115803 Win=132352 Len=0;;32,10967;32,10999;0,000323;;0,000318;5E-06;-0,000313
562;32,10999;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=115803 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,10999;32,10999;5E-06;;-0,000201;0,000206;0,000407
563;32,10999;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=117211 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,10999;32,11020;0,000206;;0,000202;4E-06;-0,000198
564;32,11020;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=118619 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,11020;32,11020;4E-06;;-0,000104;0,000108;0,000212
565;32,11020;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=120027 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,11020;32,11031;0,000108;;-0,009481;0,009589;0,01907
566;32,11031;192,168,100,21;142,251,85,71;TCP;54;62448  >  443 [ACK] Seq=3504 Ack=121435 Win=132352 Len=0;;32,11031;32,11990;0,009589;;0,007546;0,002043;-0,005503
567;32,11990;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=121435 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,11990;32,12194;0,002043;;0,002038;5E-06;-0,002033
568;32,12194;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=122843 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,12194;32,12195;5E-06;;-6,3E-05;6,8E-05;0,000131
569;32,12195;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=124251 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,12195;32,12202;6,8E-05;;-0,000134;0,000202;0,000336
570;32,12202;192,168,100,21;142,251,85,71;TCP;54;62448  >  443 [ACK] Seq=3504 Ack=125659 Win=132352 Len=0;;32,12202;32,12222;0,000202;;-0,000104;0,000306;0,00041
571;32,12222;142,251,85,71;192,168,100,21;TLSv1,3;1462;Application Data [TCP segment of a reassembled PDU];;32,12222;32,12252;0,000306;;0,000301;5E-06;-0,000296
572;32,12252;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=127067 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,12252;32,12253;5E-06;;-6,5E-05;7E-05;0,000135
573;32,12253;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=128475 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,12253;32,12260;7E-05;;-0,009316;0,009386;0,018702
574;32,12260;192,168,100,21;142,251,85,71;TCP;54;62448  >  443 [ACK] Seq=3504 Ack=129883 Win=132352 Len=0;;32,12260;32,13199;0,009386;;0,00938;6E-06;-0,009374
575;32,13199;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=129883 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,13199;32,13199;6E-06;;-0,000179;0,000185;0,000364
576;32,13199;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=131291 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,13199;32,13218;0,000185;;0,000181;4E-06;-0,000177
577;32,13218;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=132699 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,13218;32,13218;4E-06;;-8,5E-05;8,9E-05;0,000174
578;32,13218;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=134107 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,13218;32,13227;8,9E-05;;-0,006727;0,006816;0,013543
579;32,13227;192,168,100,21;142,251,85,71;TCP;54;62448  >  443 [ACK] Seq=3504 Ack=135515 Win=132352 Len=0;;32,13227;32,13909;0,006816;;0,006812;4E-06;-0,006808
580;32,13909;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=135515 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,13909;32,13909;4E-06;;-0,000289;0,000293;0,000582
581;32,13909;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=136923 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,13909;32,13938;0,000293;;0,000288;5E-06;-0,000283
582;32,13938;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=138331 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,13938;32,13939;5E-06;;-7,6E-05;8,1E-05;0,000157
583;32,13939;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=139739 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,13939;32,13947;8,1E-05;;-0,000145;0,000226;0,000371
584;32,13947;192,168,100,21;142,251,85,71;TCP;54;62448  >  443 [ACK] Seq=3504 Ack=141147 Win=132352 Len=0;;32,13947;32,13969;0,000226;;-0,000108;0,000334;0,000442
586;32,13969;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=141147 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,13969;32,14003;0,000334;;0,00033;4E-06;-0,000326
587;32,14003;142,251,85,71;192,168,100,21;TLSv1,3;1462;Application Data [TCP segment of a reassembled PDU];;32,14003;32,14003;4E-06;;-8,5E-05;8,9E-05;0,000174
588;32,14003;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=143963 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,14003;32,14012;8,9E-05;;-0,003336;0,003425;0,006761
589;32,14012;192,168,100,21;142,251,85,71;TCP;54;62448  >  443 [ACK] Seq=3504 Ack=145371 Win=132352 Len=0;;32,14012;32,14355;0,003425;;0,003418;7E-06;-0,003411
590;32,14355;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=145371 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,14355;32,14355;7E-06;;-0,004414;0,004421;0,008835
591;32,14355;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [ACK] Seq=146779 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,14355;32,14797;0,004421;;0,004415;6E-06;-0,004409
592;32,14797;142,251,85,71;192,168,100,21;TCP;1462;443  >  62448 [PSH, ACK] Seq=148187 Ack=3504 Win=76288 Len=1408 [TCP segment of a reassembled PDU];;32,14797;32,14798;6E-06;;-0,000114;0,00012;0,000234
